run,model,epoch,lr,scheduler,backbone_lr_mult,crop_size,batch_size,min_valid_ratio,rare_crop,rare_crop_prob,rare_classes,rare_min_ratio,loss_name,dice_weight,fg_aux_bce_weight,fg_aux_dice_weight,aux_loss_weight,init_encoder_from,train_main_loss,train_fg_bce,train_fg_dice,train_aux_ce,augmentation,train_loss,train_miou,train_pixel_acc,train_skipped_all_ignore,train_skipped_nonfinite,val_loss,val_miou,val_pixel_acc,val_skipped_all_ignore,val_skipped_nonfinite,seconds,peak_vram_gb,val_iou_background,val_iou_building,val_iou_road,val_iou_water,val_iou_barren,val_iou_forest,val_iou_agriculture
E009_mit_b2_upernet_10ep,mit_b2_upernet,1,0.0001,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.0,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.5883906544200957,0.0,0.0,0.0,basic,0.5883906544200957,0.6621504065615643,0.7984125762165691,0,0,0.9924928918124386,0.49132532519616207,0.6921762208092046,0,0,177.98081994056702,13.784990310668945,0.5388899702269406,0.6208965171807478,0.4973670308523625,0.7046536233257402,0.19293887988126063,0.3766209741839558,0.5079102807221267
E009_mit_b2_upernet_10ep,mit_b2_upernet,2,9.755282581475769e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.0,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.5128286102461437,0.0,0.0,0.0,basic,0.5128286102461437,0.6822348454979045,0.8099417620469964,0,0,1.2335123439724935,0.49193736164959806,0.6944194704513321,0,0,161.3858301639557,6.876971244812012,0.5346091893684074,0.6335889966973708,0.5415799569604105,0.7086482516252933,0.14873049677372663,0.3507301420488926,0.5256744980730854
E009_mit_b2_upernet_10ep,mit_b2_upernet,3,9.045084971874737e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.0,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4826683905389574,0.0,0.0,0.0,basic,0.4826683905389574,0.6912825842682804,0.8173914876446179,0,0,1.1115571237637096,0.5013016204099882,0.6970265113019191,0,0,161.0125389099121,6.876971244812012,0.5395766865103176,0.6372898038168958,0.5422543783669431,0.7073541079860922,0.1828914154303022,0.3764623799748418,0.5232825707845238
E009_mit_b2_upernet_10ep,mit_b2_upernet,4,7.938926261462366e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.0,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.47395500483967007,0.0,0.0,0.0,basic,0.47395500483967007,0.6938869940341814,0.8211620723455076,0,0,1.1319275355795353,0.5023032628821821,0.6996341928861733,0,0,161.7361888885498,6.876971244812012,0.5460368889990613,0.6331297359462542,0.5563805345533414,0.6824063631028902,0.22509530712004738,0.33809699582843133,0.5349770146252493
E009_mit_b2_upernet_10ep,mit_b2_upernet,5,6.545084971874737e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.0,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.45823847949504853,0.0,0.0,0.0,basic,0.45823847949504853,0.6977773676578938,0.824398080968767,0,0,1.1541578581458645,0.49519744229599433,0.7005014646306176,0,0,161.33281207084656,6.876971244812012,0.542714287623577,0.6310375084081504,0.5440909018397133,0.7106060275684876,0.15869727571458755,0.33501822686483756,0.5442178680526072
E009_mit_b2_upernet_10ep,mit_b2_upernet,6,4.9999999999999996e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.0,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4466342515888668,0.0,0.0,0.0,basic,0.4466342515888668,0.7073256888872367,0.8284675127127971,0,0,1.136453897188725,0.524680114160583,0.7107639490927455,0,0,160.82892155647278,6.876971244812012,0.5529660823705118,0.6356980241537201,0.5481242706460585,0.7130375745508769,0.31263476465817946,0.3641814634913194,0.5461186192534146
E009_mit_b2_upernet_10ep,mit_b2_upernet,7,3.454915028125263e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.0,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4284259873723227,0.0,0.0,0.0,basic,0.4284259873723227,0.7172820044629401,0.8352946512579107,0,0,1.103197762270293,0.5200690456127601,0.7095873919212489,0,0,161.07960033416748,6.876971244812012,0.5539480429441123,0.6413079773510878,0.5304551039102925,0.7167499899462897,0.29732339463158375,0.35797787394830693,0.5427209365576483
E009_mit_b2_upernet_10ep,mit_b2_upernet,8,2.0610737385376345e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.0,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.42050722520502787,0.0,0.0,0.0,basic,0.42050722520502787,0.718769281833992,0.8349485226673039,0,0,1.1625995681616679,0.5157665260850389,0.7040807642534589,0,0,161.9639105796814,6.876971244812012,0.5462780555218705,0.6399121065149824,0.5502284431739629,0.719961850903918,0.25645994255352444,0.3707589689966735,0.5267663149303402
E009_mit_b2_upernet_10ep,mit_b2_upernet,9,9.549150281252631e-06,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.0,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.41834423925195424,0.0,0.0,0.0,basic,0.41834423925195424,0.7228710853419792,0.8379151176995445,0,0,1.0967612588804874,0.5123279968801228,0.7041487025585353,0,0,162.15853476524353,6.876971244812012,0.5472528338423294,0.6330865783430001,0.5603761030420045,0.7203052316230529,0.22664885330503057,0.36872787257459216,0.5298985054308496
E009_mit_b2_upernet_10ep,mit_b2_upernet,10,2.447174185242323e-06,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.0,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4183034528815557,0.0,0.0,0.0,basic,0.4183034528815557,0.7250184989888828,0.8386860827152615,0,0,1.129867329266653,0.5164983887368265,0.7070726390153558,0,0,159.83279633522034,6.876971244812012,0.5497660184186888,0.6418804611356114,0.5513519007359352,0.7189390111351096,0.24853695194454808,0.3680413440395647,0.536973033748328
