run,model,epoch,lr,scheduler,backbone_lr_mult,crop_size,batch_size,min_valid_ratio,rare_crop,rare_crop_prob,rare_classes,rare_min_ratio,loss_name,dice_weight,fg_aux_bce_weight,fg_aux_dice_weight,aux_loss_weight,init_encoder_from,train_main_loss,train_fg_bce,train_fg_dice,train_aux_ce,augmentation,train_loss,train_miou,train_pixel_acc,train_skipped_all_ignore,train_skipped_nonfinite,val_loss,val_miou,val_pixel_acc,val_skipped_all_ignore,val_skipped_nonfinite,seconds,peak_vram_gb,val_iou_background,val_iou_building,val_iou_road,val_iou_water,val_iou_barren,val_iou_forest,val_iou_agriculture
E012_mit_b2_uper_ocr_10ep,mit_b2_uper_ocr,1,0.0001,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.6383635001523155,0.0,0.0,0.6237709256391677,basic,0.8878718756494068,0.6440118667035081,0.7866235469844566,0,0,1.1533157648652363,0.48503823421872383,0.6807473839740625,0,0,197.64577841758728,18.6207857131958,0.5306538950638743,0.5494847180442206,0.5264609457687613,0.7045007632234388,0.23122749129079592,0.3727662995078016,0.48017352663217416
E012_mit_b2_uper_ocr_10ep,mit_b2_uper_ocr,2,9.755282581475769e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.5251904185802218,0.0,0.0,0.5233811812741416,basic,0.7345428942687928,0.6778745686714147,0.8071979698885244,0,0,1.13707397215104,0.49284150023242634,0.6898219957438374,0,0,183.71930599212646,6.408452987670898,0.5414543962440944,0.5454647158617637,0.5360172092292375,0.697905139260211,0.27625211296698143,0.3506790923226591,0.5021178357420378
E012_mit_b2_uper_ocr_10ep,mit_b2_uper_ocr,3,9.045084971874737e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.5017643706193046,0.0,0.0,0.5020675292563817,basic,0.7025913870523847,0.6838944008137346,0.8098832965676556,0,0,0.9660242602015227,0.5075967148191787,0.704807678946098,0,0,182.03173518180847,6.407354354858398,0.5472446777633169,0.6225597657068125,0.5194336236168029,0.6869078214698677,0.24909352695810638,0.37432372235596156,0.5536138658633832
E012_mit_b2_uper_ocr_10ep,mit_b2_uper_ocr,4,7.938926261462366e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4794133584650736,0.0,0.0,0.48159922796582416,basic,0.6720530561984531,0.6943945536404895,0.8176498146188081,0,0,1.1084058535726447,0.4897799167907561,0.6922874620313008,0,0,181.49941420555115,6.407354354858398,0.5399877537984479,0.5851403159617512,0.5549459874629601,0.7150410665882923,0.16587643990778222,0.35686000221817915,0.5106078515978794
E012_mit_b2_uper_ocr_10ep,mit_b2_uper_ocr,5,6.545084971874737e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4607188137750777,0.0,0.0,0.4623704375728728,basic,0.6456669934212216,0.7003311589837126,0.8245040638256613,0,0,1.2261665186813573,0.5175836136803189,0.7082485982861134,0,0,183.01484370231628,6.407354354858398,0.5554324777785686,0.6191554436545823,0.5354363675833408,0.7146931267887011,0.28195214908900146,0.3758481624272208,0.5405675684408171
E012_mit_b2_uper_ocr_10ep,mit_b2_uper_ocr,6,4.9999999999999996e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.44154531974641104,0.0,0.0,0.44273894036573075,basic,0.6186409000366453,0.7123580719832932,0.8300842696273163,0,0,1.0870250025719548,0.5091128975909074,0.709432260442938,0,0,181.50971150398254,6.407354354858398,0.5572374124751782,0.6353921603029882,0.5195987396351462,0.7118679538386525,0.2212924423188369,0.3697536490610928,0.5486479255044568
E012_mit_b2_uper_ocr_10ep,mit_b2_uper_ocr,7,3.454915028125263e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.43777417857495565,0.0,0.0,0.43853823746007586,basic,0.6131894779583764,0.7125735472253757,0.8318774108065742,0,0,1.0916056550290596,0.5014753248387128,0.6908770728631137,0,0,182.23740935325623,6.407354354858398,0.5370952455648362,0.6322972639672909,0.5322408937163772,0.71289374143342,0.24997340709361532,0.35601222296564244,0.48981449912980757
E012_mit_b2_uper_ocr_10ep,mit_b2_uper_ocr,8,2.0610737385376345e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4290078201464244,0.0,0.0,0.43067560295263924,basic,0.601278064932142,0.7186368003485192,0.834019428295143,0,0,1.1322689632479654,0.5041597872791289,0.6992227573793711,0,0,179.59303069114685,6.407354354858398,0.545673195875191,0.6214923448411142,0.551021207156881,0.7026271595605115,0.21817221393283565,0.3667023206969101,0.5234300688904588
E012_mit_b2_uper_ocr_10ep,mit_b2_uper_ocr,9,9.549150281252631e-06,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.42431059309414454,0.0,0.0,0.42700278413674186,basic,0.5951117097385346,0.7176743927994182,0.835300906611915,0,0,1.2698299297305387,0.500886681463874,0.6934472820893709,0,0,181.5975694656372,6.407354354858398,0.5391112279774384,0.6233252386652428,0.534113279962752,0.7143044918979496,0.23657907595881955,0.35662600990987076,0.5021474458750448
E012_mit_b2_uper_ocr_10ep,mit_b2_uper_ocr,10,2.447174185242323e-06,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4202895605374896,0.0,0.0,0.4215131373159469,basic,0.5888948191726019,0.7230302500389255,0.8370106692195449,0,0,1.2628253108006344,0.5084098065809507,0.6942446686841339,0,0,182.79017806053162,6.407354354858398,0.5389106934112381,0.633971895512857,0.5467824598926697,0.7132235289440257,0.26250421613042707,0.36770385134642497,0.49577200082901274
