run,model,epoch,lr,scheduler,backbone_lr_mult,crop_size,context_size,batch_size,min_valid_ratio,rare_crop,rare_crop_prob,rare_classes,rare_min_ratio,loss_name,dice_weight,fg_aux_bce_weight,fg_aux_dice_weight,aux_loss_weight,init_encoder_from,train_main_loss,train_fg_bce,train_fg_dice,train_aux_ce,augmentation,train_loss,train_miou,train_pixel_acc,train_skipped_all_ignore,train_skipped_nonfinite,val_loss,val_miou,val_pixel_acc,val_skipped_all_ignore,val_skipped_nonfinite,seconds,peak_vram_gb,val_iou_background,val_iou_building,val_iou_road,val_iou_water,val_iou_barren,val_iou_forest,val_iou_agriculture
E019_mit_b2_frequency_upernet_10ep,mit_b2_frequency_upernet,1,0.0001,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.6094613626835839,0.0,0.0,0.0,basic,0.6094613626835839,0.6485602714419281,0.7904805257513581,0,0,1.1519778667454514,0.4897099949203674,0.6906516425746495,0,0,200.89088773727417,13.794719219207764,0.5341177265889063,0.6267901794712794,0.5210877327514872,0.706553266204203,0.20661189942211822,0.3232145146763105,0.5095946453282673
E019_mit_b2_frequency_upernet_10ep,mit_b2_frequency_upernet,2,9.755282581475769e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.5034791032473246,0.0,0.0,0.0,basic,0.5034791032473246,0.6838398896245651,0.8105075223307577,0,0,1.009261871639051,0.5186910023176006,0.7010161738480973,0,0,190.56639051437378,6.38743257522583,0.5392360472350936,0.6352052465831622,0.5542107664442691,0.7127407676159719,0.28283995515065086,0.3837760939065324,0.5228281392875235
E019_mit_b2_frequency_upernet_10ep,mit_b2_frequency_upernet,3,9.045084971874737e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4778192388159888,0.0,0.0,0.0,basic,0.4778192388159888,0.6967948643910351,0.8196534245898598,0,0,1.0298792048219287,0.502225377247253,0.6955023203239761,0,0,197.0520372390747,6.38749361038208,0.541006362036074,0.5917588212872658,0.5127069982105528,0.7048767887290884,0.259218588732508,0.39133384048290093,0.5146762412523815
E019_mit_b2_frequency_upernet_10ep,mit_b2_frequency_upernet,4,7.938926261462366e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.45910165669426084,0.0,0.0,0.0,basic,0.45910165669426084,0.7024205656286603,0.8248499701201564,0,0,1.1397301347917348,0.5122822781583783,0.7028504277000791,0,0,190.40644764900208,6.38749361038208,0.5485496203959469,0.5822812793198974,0.5469536387105779,0.7088462232915322,0.3043339705412599,0.3596302793421312,0.5353809355073024
E019_mit_b2_frequency_upernet_10ep,mit_b2_frequency_upernet,5,6.545084971874737e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4589163062118349,0.0,0.0,0.0,basic,0.4589163062118349,0.7001106454993599,0.8231817430530682,0,0,1.070108598214017,0.49496843263366325,0.6942559912460197,0,0,195.99783492088318,6.38749361038208,0.538330618672903,0.6351402350856211,0.550261963182747,0.7165793273961955,0.15340057791269748,0.36275657367537506,0.5083097325101039
E019_mit_b2_frequency_upernet_10ep,mit_b2_frequency_upernet,6,4.9999999999999996e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.44328202832312813,0.0,0.0,0.0,basic,0.44328202832312813,0.7099202452958547,0.8287102925826365,0,0,1.067416428949274,0.511176489373039,0.6991081393969676,0,0,190.1230149269104,6.38749361038208,0.5409517754584624,0.6404147787934974,0.5682642043302736,0.713495224898132,0.2353527156883351,0.3663200614731867,0.5134366649693852
E019_mit_b2_frequency_upernet_10ep,mit_b2_frequency_upernet,7,3.454915028125263e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.43309387782263375,0.0,0.0,0.0,basic,0.43309387782263375,0.7132496192487302,0.8325558536435084,0,0,1.1205869716320311,0.5090993786701365,0.7026010737542709,0,0,191.88933897018433,6.38749361038208,0.5454583538567375,0.6302880246909095,0.5600519969681753,0.7176288930613751,0.20765491124725427,0.37777387594567874,0.5248395949208253
E019_mit_b2_frequency_upernet_10ep,mit_b2_frequency_upernet,8,2.0610737385376345e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.41681250362169175,0.0,0.0,0.0,basic,0.41681250362169175,0.7262765332920597,0.8389126375970164,0,0,1.1575979205409876,0.5133517672955694,0.7009712338917627,0,0,202.08495378494263,6.38749361038208,0.5435848402770358,0.6373306490868259,0.5595049398127806,0.7178327425206696,0.26204273574617404,0.35442132413996946,0.5187451394855309
E019_mit_b2_frequency_upernet_10ep,mit_b2_frequency_upernet,9,9.549150281252631e-06,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.40919955604606206,0.0,0.0,0.0,basic,0.40919955604606206,0.7271706633163,0.8410768567836696,0,0,1.22145981851377,0.5085585095062849,0.7010063058455169,0,0,195.88933539390564,6.38749361038208,0.5464574406371907,0.6207791363496095,0.5634720591829376,0.7182768361664034,0.22028413521246182,0.3707616763712247,0.5198782826241667
E019_mit_b2_frequency_upernet_10ep,mit_b2_frequency_upernet,10,2.447174185242323e-06,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4165378665167188,0.0,0.0,0.0,basic,0.4165378665167188,0.7221663373825236,0.8376098251795029,0,0,1.1584978808056225,0.5114619722959659,0.7028645789954908,0,0,197.711829662323,6.38749361038208,0.5470935068454744,0.6283348260630821,0.5594187528818849,0.7197976351735003,0.23345564576197161,0.36844434893187405,0.5236890904139745
