run,model,epoch,lr,scheduler,backbone_lr_mult,crop_size,batch_size,min_valid_ratio,rare_crop,rare_crop_prob,rare_classes,rare_min_ratio,loss_name,dice_weight,fg_aux_bce_weight,fg_aux_dice_weight,aux_loss_weight,init_encoder_from,train_main_loss,train_fg_bce,train_fg_dice,train_aux_ce,augmentation,train_loss,train_miou,train_pixel_acc,train_skipped_all_ignore,train_skipped_nonfinite,val_loss,val_miou,val_pixel_acc,val_skipped_all_ignore,val_skipped_nonfinite,seconds,peak_vram_gb,val_iou_background,val_iou_building,val_iou_road,val_iou_water,val_iou_barren,val_iou_forest,val_iou_agriculture
E014_mit_b2_cnnstem_upernet_10ep,mit_b2_cnnstem_upernet,1,0.0001,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.6088346449155656,0.0,0.0,0.0,basic,0.6088346449155656,0.6544876742408523,0.7905032352407485,0,0,0.9428891598037555,0.4908638430222467,0.6992323308322254,0,0,189.3941683769226,13.913444519042969,0.5461159098857321,0.5895967850460595,0.5548118344850673,0.6870014312148272,0.12208744424582123,0.3965234367461849,0.5399100595320347
E014_mit_b2_cnnstem_upernet_10ep,mit_b2_cnnstem_upernet,2,9.755282581475769e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.507373146972959,0.0,0.0,0.0,basic,0.507373146972959,0.6792373481133909,0.8108887471821635,0,0,0.845314060814643,0.515211522549549,0.7005252122622287,0,0,175.07365727424622,6.506402015686035,0.5380634393016133,0.6429722600585376,0.5613689001622927,0.6935896333025265,0.24283314222742144,0.39353354235749993,0.534119740436952
E014_mit_b2_cnnstem_upernet_10ep,mit_b2_cnnstem_upernet,3,9.045084971874737e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4883992962420933,0.0,0.0,0.0,basic,0.4883992962420933,0.6873682471668587,0.8157329508133374,0,0,1.1048504436415347,0.5202002247905371,0.7075562515268802,0,0,167.63657331466675,6.508233070373535,0.555117424609514,0.6377534208551717,0.541288460587948,0.6934183553936938,0.3092775125610097,0.3652004945917353,0.539345904934687
E014_mit_b2_cnnstem_upernet_10ep,mit_b2_cnnstem_upernet,4,7.938926261462366e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.46272192606850276,0.0,0.0,0.0,basic,0.46272192606850276,0.698833134590895,0.8228293515485562,0,0,1.0503002851488488,0.5093953274305482,0.6915113328907824,0,0,166.7021622657776,6.508233070373535,0.5337616317669555,0.6290638281526247,0.5546977385508,0.7058261149867194,0.26994221606658564,0.38196126972719097,0.4905144927629611
E014_mit_b2_cnnstem_upernet_10ep,mit_b2_cnnstem_upernet,5,6.545084971874737e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.45599054391421967,0.0,0.0,0.0,basic,0.45599054391421967,0.7055884974825309,0.8255394535219017,0,0,1.146694436740647,0.511767387233648,0.7076395275408075,0,0,166.80326676368713,6.508233070373535,0.5533932234501533,0.6177660111803318,0.5599995599379054,0.6992365317513216,0.25537519244635437,0.34863776530749985,0.5479634265619701
E014_mit_b2_cnnstem_upernet_10ep,mit_b2_cnnstem_upernet,6,4.9999999999999996e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4450634856072683,0.0,0.0,0.0,basic,0.4450634856072683,0.7098702568158062,0.8304521384007909,0,0,1.0329952011838484,0.5065644994540829,0.7104819353324748,0,0,167.68702507019043,6.508233070373535,0.5574189476247583,0.6083035067316093,0.5445594575356885,0.7107130446360265,0.18905733637475935,0.37546915545208787,0.5604300478236505
E014_mit_b2_cnnstem_upernet_10ep,mit_b2_cnnstem_upernet,7,3.454915028125263e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4317753560486294,0.0,0.0,0.0,basic,0.4317753560486294,0.7157040960109222,0.8331932804526205,0,0,1.116421081660467,0.5179982052082146,0.7078305723758753,0,0,158.1481795310974,6.508233070373535,0.5540030427777395,0.6229171231284764,0.5561760744335064,0.712786369021379,0.27404861287508414,0.36765481869406774,0.538401395527249
E014_mit_b2_cnnstem_upernet_10ep,mit_b2_cnnstem_upernet,8,2.0610737385376345e-05,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4247014718869376,0.0,0.0,0.0,basic,0.4247014718869376,0.717885055511177,0.8357783618451214,0,0,1.1635452814079357,0.5073530992596993,0.701415650753366,0,0,158.61732745170593,6.508233070373535,0.5464991613292657,0.6284313687419611,0.5414648046092605,0.7093302963173834,0.22586185335332573,0.3741471913374098,0.5257370191292888
E014_mit_b2_cnnstem_upernet_10ep,mit_b2_cnnstem_upernet,9,9.549150281252631e-06,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4164618092396903,0.0,0.0,0.0,basic,0.4164618092396903,0.7246189449593615,0.8392467081908549,0,0,1.1167707306346255,0.5146835835635906,0.7025788106063398,0,0,167.30891752243042,6.508233070373535,0.5472609363564385,0.6254417913823718,0.56057527562531,0.7102571929710045,0.26023161788214,0.3761416022939962,0.5228766684338729
E014_mit_b2_cnnstem_upernet_10ep,mit_b2_cnnstem_upernet,10,2.447174185242323e-06,cosine,0.2,512,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4123273344740035,0.0,0.0,0.0,basic,0.4123273344740035,0.7280475675365904,0.8410246784587934,0,0,1.1988797214898197,0.5125082379199821,0.7037573545216071,0,0,167.40994453430176,6.508233070373535,0.5489914201762942,0.6228678650270018,0.5560234511799584,0.7131499438312394,0.24680254472624188,0.37122985106003986,0.5284925894390995
