run,model,epoch,lr,scheduler,crop_size,batch_size,min_valid_ratio,train_loss,train_miou,train_pixel_acc,train_skipped_all_ignore,train_skipped_nonfinite,val_loss,val_miou,val_pixel_acc,val_skipped_all_ignore,val_skipped_nonfinite,seconds,peak_vram_gb,val_iou_background,val_iou_building,val_iou_road,val_iou_water,val_iou_barren,val_iou_forest,val_iou_agriculture
E005_segformer_b1_3ep,segformer_b1,1,5e-05,cosine,512,8,0.05,1.1861806307520186,0.3685208241897522,0.6266003500166191,0,0,1.033953769640489,0.4039254670233537,0.6271827605260306,0,0,125.34062910079956,8.320625305175781,0.4801324680053541,0.5420665030557043,0.4363901924251313,0.6186719365031402,4.046309841376992e-06,0.3437103831534738,0.4065027397108307
E005_segformer_b1_3ep,segformer_b1,2,3.7500000000000003e-05,cosine,512,8,0.05,0.8273941927485996,0.5296449328076075,0.7193255839705048,0,0,0.8751135882008019,0.4606510365710917,0.687615835310362,0,0,119.63354873657227,5.402656555175781,0.5251894897660001,0.5741181694492338,0.4654877444688322,0.6657688290960897,0.08115882844255869,0.35325628894956174,0.5595779058253649
E005_segformer_b1_3ep,segformer_b1,3,1.2500000000000007e-05,cosine,512,8,0.05,0.7461350117410932,0.5748798931488788,0.7415077470040202,0,0,0.8815797501773925,0.4722441758051839,0.6763899397160624,0,0,113.70566749572754,5.403877258300781,0.5124838747748702,0.5818581549130585,0.49010634123239083,0.7003336809465723,0.15927174567617106,0.3647250709000946,0.4969303621931302
