run,model,epoch,lr,scheduler,crop_size,batch_size,min_valid_ratio,train_loss,train_miou,train_pixel_acc,train_skipped_all_ignore,train_skipped_nonfinite,val_loss,val_miou,val_pixel_acc,val_skipped_all_ignore,val_skipped_nonfinite,seconds,peak_vram_gb,val_iou_background,val_iou_building,val_iou_road,val_iou_water,val_iou_barren,val_iou_forest,val_iou_agriculture
E007_segformer_b2_20ep,segformer_b2,1,5e-05,cosine,512,8,0.05,1.0938346200519138,0.42105489449527866,0.6591836151516703,0,0,0.886439605763084,0.4419697952869911,0.6558131939960103,0,0,189.75603199005127,24.125656127929688,0.42121115495976336,0.5890586200224835,0.45367803897744047,0.7004954233996845,0.003522455002553399,0.37100673269583617,0.5548161419511759
E007_segformer_b2_20ep,segformer_b2,2,4.9692208514878444e-05,cosine,512,8,0.05,0.7367771567806365,0.5716177749558377,0.7390631234600996,0,0,0.8626724050946213,0.4658405519993038,0.6679204404596154,0,0,169.50587272644043,14.613082885742188,0.42984527366330183,0.6069732636723796,0.5101691591013361,0.6931360290751154,0.12921013013643035,0.31915079439635474,0.5723992139502088
E007_segformer_b2_20ep,segformer_b2,3,4.877641290737884e-05,cosine,512,8,0.05,0.6715108227162134,0.5982196286131565,0.7521035768108305,0,0,0.822552932506543,0.48112509854159274,0.698982114947079,0,0,168.31298899650574,14.613082885742188,0.5076544334106551,0.6087910123832229,0.536746714200865,0.7144876738206407,0.07348901994773077,0.3255599975856262,0.6011468384424083
E007_segformer_b2_20ep,segformer_b2,4,4.72751631047092e-05,cosine,512,8,0.05,0.6367924562522344,0.6147881181626919,0.7635545248806859,0,0,0.8078373650614725,0.4954076181410926,0.7113278504615117,0,0,160.80264973640442,14.613082885742188,0.5326581115372275,0.6397263444533534,0.5241194926318136,0.6921127856709214,0.07696847114502411,0.3876339222305934,0.6146341993187142
E007_segformer_b2_20ep,segformer_b2,5,4.522542485937369e-05,cosine,512,8,0.05,0.6043400532669492,0.6305909717515389,0.7734195853450522,0,0,0.9430669424921702,0.4850227350511564,0.6919088195317655,0,0,167.95892238616943,14.613082885742188,0.5397714193495683,0.5802262590065097,0.5154215447332946,0.7197413988751552,0.13338506116580795,0.39008417330509143,0.5165292889226675
E007_segformer_b2_20ep,segformer_b2,6,4.267766952966369e-05,cosine,512,8,0.05,0.5694461444067577,0.6400931793022079,0.7828135271744896,0,0,0.8188463438070562,0.49947393363035764,0.7006088907883318,0,0,168.48622632026672,14.613082885742188,0.5086833745863488,0.6301075418654306,0.5483932561895701,0.6889692756843789,0.18305877441755308,0.34816498014244107,0.5889403325267805
E007_segformer_b2_20ep,segformer_b2,7,3.969463130731183e-05,cosine,512,8,0.05,0.5624535829301864,0.6464510967722752,0.7865289163757451,0,0,1.2631918676732259,0.46295262936451553,0.663802773760807,0,0,160.79253149032593,14.613082885742188,0.5129747423162139,0.6010470962371343,0.5360873428050862,0.6962513889848625,0.14414122950182795,0.3097259266632841,0.4404406790431996
E007_segformer_b2_20ep,segformer_b2,8,3.634976249348867e-05,cosine,512,8,0.05,0.5374823704598441,0.6613601670873958,0.7959126870772507,0,0,0.9465975205293683,0.4780123699059608,0.7022485593410067,0,0,159.71455335617065,14.613082885742188,0.5530130641646127,0.6302211207149309,0.5376701299267419,0.703919026443281,0.021011371153193348,0.3462363351892214,0.5540155417497445
E007_segformer_b2_20ep,segformer_b2,9,3.272542485937369e-05,cosine,512,8,0.05,0.5236401655371227,0.6702140540535336,0.8026726779063774,0,0,1.1341502449729226,0.4919973735807413,0.6840628233704561,0,0,162.24314665794373,14.613082885742188,0.5303224386681312,0.6156784937058404,0.523670426130438,0.7084388499815779,0.2459459590703543,0.3399962746471779,0.47992917286166925
E007_segformer_b2_20ep,segformer_b2,10,2.891086162600578e-05,cosine,512,8,0.05,0.5034721793636443,0.6786471040117789,0.8068640726082816,0,0,1.1458606360631696,0.5023121577863192,0.6970938341036833,0,0,160.56129908561707,14.613082885742188,0.5388016144397157,0.6214727774283516,0.5266075085682749,0.7101119949157698,0.2379719320796899,0.3592505269443439,0.5219687501280882
E007_segformer_b2_20ep,segformer_b2,11,2.5000000000000005e-05,cosine,512,8,0.05,0.5019102433371165,0.6796711594683379,0.8095624339010286,0,0,0.9596640404902006,0.5138872454944117,0.7091928331749545,0,0,159.52773928642273,14.613082885742188,0.5513952857451248,0.6470364800889178,0.5337076630046597,0.7190584226421188,0.2469748922884717,0.34825743678561594,0.5507805379059727
E007_segformer_b2_20ep,segformer_b2,12,2.108913837399424e-05,cosine,512,8,0.05,0.4850616327353886,0.6905333955870716,0.8149739882814099,0,0,1.0467510308945578,0.5142230096496404,0.7080977143087348,0,0,160.43003153800964,14.613082885742188,0.5498196584007412,0.6361388870255915,0.5567322526946604,0.7185414900740411,0.22698638401621335,0.36665043151242027,0.5446919638238149
E007_segformer_b2_20ep,segformer_b2,13,1.727457514062632e-05,cosine,512,8,0.05,0.48280472220882537,0.6915602020718427,0.8144928172165117,0,0,1.156456198988919,0.4913426784092305,0.6977170215260067,0,0,160.26048803329468,14.613082885742188,0.5389285931190102,0.6335395340203019,0.5584509575978405,0.7191829090573866,0.13057467869840092,0.3234022956633706,0.5353197807083028
E007_segformer_b2_20ep,segformer_b2,14,1.3650237506511335e-05,cosine,512,8,0.05,0.4563178413444095,0.7063366432206825,0.8254219172255245,0,0,1.123250776500793,0.5062395758441153,0.7041027522144945,0,0,160.66646242141724,14.613082885742188,0.5490348186027028,0.6139904089337035,0.5474913489180894,0.711768844187398,0.21631359286780177,0.36432416123650707,0.5407538561626041
E007_segformer_b2_20ep,segformer_b2,15,1.0305368692688178e-05,cosine,512,8,0.05,0.4533206921248209,0.7059246147438678,0.8264578802931887,0,0,1.0832367910152416,0.5064680021280461,0.6981277740529657,0,0,160.87671732902527,14.613082885742188,0.5382495973326514,0.6387737644307375,0.5469225601467713,0.7162948586741897,0.21514154377677697,0.37079221806567475,0.5191014724695207
E007_segformer_b2_20ep,segformer_b2,16,7.322330470336315e-06,cosine,512,8,0.05,0.44658908035073963,0.7116055461724822,0.8295072408486082,0,0,1.1536748497680043,0.5106210870425222,0.7053205029279794,0,0,161.02801966667175,14.613082885742188,0.5487840597360552,0.6325655002152967,0.5487437479926898,0.7130259712074112,0.21999317381834205,0.37227497536648513,0.5389601809613754
E007_segformer_b2_20ep,segformer_b2,17,4.774575140626317e-06,cosine,512,8,0.05,0.4468161870562841,0.7116654341917809,0.8283041057590087,0,0,1.1846836103776996,0.5022919258434521,0.6978820075115919,0,0,160.3758406639099,14.613082885742188,0.5408251635027199,0.6328730652321831,0.5508188186331682,0.7113077845317963,0.1987464534249325,0.35872812364017076,0.522744071939193
E007_segformer_b2_20ep,segformer_b2,18,2.7248368952908057e-06,cosine,512,8,0.05,0.441364431286615,0.7146996761183104,0.8310100562315945,0,0,1.1728054806946568,0.5074719647345214,0.702566147901875,0,0,160.68840789794922,14.613082885742188,0.545355411435926,0.6316449027024784,0.5513810430491444,0.714447081513786,0.21642641426927678,0.358716563894293,0.5343323362767448
