run,model,epoch,lr,scheduler,backbone_lr_mult,crop_size,context_size,batch_size,min_valid_ratio,rare_crop,rare_crop_prob,rare_classes,rare_min_ratio,loss_name,dice_weight,fg_aux_bce_weight,fg_aux_dice_weight,aux_loss_weight,init_encoder_from,train_main_loss,train_fg_bce,train_fg_dice,train_aux_ce,augmentation,train_loss,train_miou,train_pixel_acc,train_skipped_all_ignore,train_skipped_nonfinite,val_loss,val_miou,val_pixel_acc,val_skipped_all_ignore,val_skipped_nonfinite,seconds,peak_vram_gb,val_iou_background,val_iou_building,val_iou_road,val_iou_water,val_iou_barren,val_iou_forest,val_iou_agriculture
E018_mit_b2_adaptive_rf_upernet_10ep,mit_b2_adaptive_rf_upernet,1,0.0001,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.6050161323850117,0.0,0.0,0.0,basic,0.6050161323850117,0.6547240701222024,0.7926782524782795,0,0,1.2282471103531323,0.46839306453884016,0.6751796753769932,0,0,198.3393805027008,13.79017448425293,0.5279038870447422,0.5449076010559779,0.4532788683222718,0.7069318854371673,0.190108057466562,0.3846470211338865,0.4709741313112736
E018_mit_b2_adaptive_rf_upernet_10ep,mit_b2_adaptive_rf_upernet,2,9.755282581475769e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.5103726579083336,0.0,0.0,0.0,basic,0.5103726579083336,0.684494992183415,0.8108485861082143,0,0,0.977407764304768,0.4925628678125265,0.6876441918824101,0,0,189.30666542053223,6.381728172302246,0.5254283375521496,0.6096437593053101,0.5603235557440117,0.6826897336514438,0.22159620253247417,0.33894712651915404,0.5093113593831421
E018_mit_b2_adaptive_rf_upernet_10ep,mit_b2_adaptive_rf_upernet,3,9.045084971874737e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.47521092191575065,0.0,0.0,0.0,basic,0.47521092191575065,0.6952965379158708,0.8195119967466575,0,0,0.9998854190538945,0.506968515920341,0.7025698133443842,0,0,193.0275957584381,6.382216453552246,0.5455826063112751,0.6174594106114111,0.5314409837955113,0.7008724546685454,0.2716988782599145,0.34066270777492774,0.5410625700208022
E018_mit_b2_adaptive_rf_upernet_10ep,mit_b2_adaptive_rf_upernet,4,7.938926261462366e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4675656146473355,0.0,0.0,0.0,basic,0.4675656146473355,0.697925729150359,0.8219509669413269,0,0,1.1953584999559028,0.5152692152971793,0.6993226948156598,0,0,179.7316029071808,6.382216453552246,0.543949539281138,0.6328398828133611,0.553441785879268,0.7115052797288438,0.2654439086799509,0.39026694103808524,0.5094371696596077
E018_mit_b2_adaptive_rf_upernet_10ep,mit_b2_adaptive_rf_upernet,5,6.545084971874737e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4562108596639028,0.0,0.0,0.0,basic,0.4562108596639028,0.7031833631170868,0.8245559185740304,0,0,1.1232369436601704,0.49232719670848013,0.6888567222594129,0,0,181.60432744026184,6.382216453552246,0.5300013896605524,0.6239940676286622,0.5496360938224186,0.6983871932685946,0.1864182830302826,0.3565922822882091,0.5012610672606417
E018_mit_b2_adaptive_rf_upernet_10ep,mit_b2_adaptive_rf_upernet,6,4.9999999999999996e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4354968499096613,0.0,0.0,0.0,basic,0.4354968499096613,0.7119005031987676,0.8304828397085868,0,0,1.0414801633529116,0.5054366323477546,0.697370956695592,0,0,182.84614896774292,6.382216453552246,0.54116728193458,0.6186426709804305,0.5570720193886856,0.7212859779017656,0.22239801584321936,0.36345529223197376,0.5140351681536278
E018_mit_b2_adaptive_rf_upernet_10ep,mit_b2_adaptive_rf_upernet,7,3.454915028125263e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.430625985586454,0.0,0.0,0.0,basic,0.430625985586454,0.7164127695221821,0.8345233035370023,0,0,1.2261631300574856,0.5096556176031772,0.7023199407094167,0,0,182.1452512741089,6.382216453552246,0.5476143051228367,0.6390416253580352,0.5625673809944925,0.7189215717533589,0.21093997611774795,0.36595982537261723,0.5225446385031518
E018_mit_b2_adaptive_rf_upernet_10ep,mit_b2_adaptive_rf_upernet,8,2.0610737385376345e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.42378496579707614,0.0,0.0,0.0,basic,0.42378496579707614,0.7188394265867216,0.8364106902518806,0,0,1.1471053729787397,0.5097223774076383,0.7009026583735335,0,0,182.13389420509338,6.382216453552246,0.5404236632017603,0.6532190439339597,0.5615488807873726,0.7201331194761346,0.2144863578605019,0.35830546522708534,0.5199401113666541
E018_mit_b2_adaptive_rf_upernet_10ep,mit_b2_adaptive_rf_upernet,9,9.549150281252631e-06,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.41994549660455616,0.0,0.0,0.0,basic,0.41994549660455616,0.7223464276311377,0.8372338104769246,0,0,1.2031555757568213,0.5057792047071784,0.695467119871437,0,0,181.68874287605286,6.382216453552246,0.5373905006847475,0.6421252483700389,0.5535643382197983,0.7224445499711479,0.21658929777394764,0.36450140385245033,0.5038390940781173
E018_mit_b2_adaptive_rf_upernet_10ep,mit_b2_adaptive_rf_upernet,10,2.447174185242323e-06,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,0.4161981531078853,0.0,0.0,0.0,basic,0.4161981531078853,0.7214598013379767,0.8376068365449314,0,0,1.1545136143145949,0.5149048199116458,0.7046065701331339,0,0,181.61543321609497,6.382216453552246,0.5468306980242844,0.6387445689480897,0.5569076810212547,0.7233571420931854,0.23781296029501053,0.3733139723703997,0.527366716629296
