run,model,epoch,lr,scheduler,backbone_lr_mult,crop_size,context_size,batch_size,min_valid_ratio,rare_crop,rare_crop_prob,rare_classes,rare_min_ratio,loss_name,lovasz_weight,multi_scale_values,dice_weight,fg_aux_bce_weight,fg_aux_dice_weight,aux_loss_weight,init_encoder_from,init_ablation_from,strict_ablation,model_seed,data_seed,train_seed,new_lr_mult,lr_base,lr_backbone,lr_new,train_main_loss,train_fg_bce,train_fg_dice,train_aux_ce,augmentation,train_loss,train_miou,train_pixel_acc,train_skipped_all_ignore,train_skipped_nonfinite,val_loss,val_miou,val_pixel_acc,val_skipped_all_ignore,val_skipped_nonfinite,seconds,peak_vram_gb,val_iou_background,val_iou_building,val_iou_road,val_iou_water,val_iou_barren,val_iou_forest,val_iou_agriculture
E033_v72_multiscale_ce,mit_b2_upernet,1,0.0001,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,0.0001,2e-05,0.0,0.6757938982002318,0.0,0.0,0.0,multiscale,0.6757938982002318,0.6172611914974334,0.764775357248355,0,0,1.2157191686938253,0.4815360489363704,0.6832302345628966,0,0,248.10085654258728,6.424944877624512,0.5303641782884728,0.6316628818576074,0.5222013261511653,0.6995078586885837,0.11241528100265735,0.38683706637238785,0.48776375019371854
E033_v72_multiscale_ce,mit_b2_upernet,2,9.829629131445342e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,9.829629131445342e-05,1.9659258262890683e-05,0.0,0.5814359056571173,0.0,0.0,0.0,multiscale,0.5814359056571173,0.6352741168053514,0.7797880473083798,0,0,0.8789052385747718,0.5038838107380629,0.6828132149330978,0,0,246.81675839424133,6.424944877624512,0.5205844597881479,0.6367632536286072,0.5468015520458792,0.6975853487549654,0.29932236386379396,0.35615463862659413,0.469975058458452
E033_v72_multiscale_ce,mit_b2_upernet,3,9.330127018922195e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,9.330127018922195e-05,1.866025403784439e-05,0.0,0.5491053497980511,0.0,0.0,0.0,multiscale,0.5491053497980511,0.6545976407493634,0.7936737141948504,0,0,1.2277047883665733,0.4973564070097397,0.6882616602286751,0,0,247.75959157943726,6.424944877624512,0.5365100486271112,0.5907135497111861,0.5274895022178075,0.7005080698454845,0.29172768523168,0.34011159405785835,0.4944343993770506
E033_v72_multiscale_ce,mit_b2_upernet,4,8.535533905932738e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,8.535533905932738e-05,1.7071067811865477e-05,0.0,0.5433473700568789,0.0,0.0,0.0,multiscale,0.5433473700568789,0.6495630811481791,0.7928432470825855,0,0,0.9427363150998166,0.5154683968144821,0.7066014797376741,0,0,248.4725203514099,6.424944877624512,0.5575809727436241,0.5989326106214868,0.5315090774426713,0.6953214045035033,0.32729553097357367,0.3556321413659261,0.542007040050589
E033_v72_multiscale_ce,mit_b2_upernet,5,7.500000000000001e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,7.500000000000001e-05,1.5000000000000004e-05,0.0,0.5195634642290691,0.0,0.0,0.0,multiscale,0.5195634642290691,0.667313816981732,0.8011791961682068,0,0,0.9687094618544054,0.5204123570471345,0.7025597264831427,0,0,245.3908576965332,6.424944877624512,0.5482378653050752,0.6356325547695738,0.5670120998815399,0.7085532260627099,0.31931449517279864,0.3479177601302523,0.516218498007992
E033_v72_multiscale_ce,mit_b2_upernet,6,6.294095225512605e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,6.294095225512605e-05,1.258819045102521e-05,0.0,0.5081505958996122,0.0,0.0,0.0,multiscale,0.5081505958996122,0.673716332477141,0.8064009537503589,0,0,1.1488228454544214,0.4951962942767188,0.6910936660730392,0,0,247.24959802627563,6.424944877624512,0.5394637429149526,0.601160261386303,0.5612822980804042,0.7005625600440494,0.18620994997030876,0.3755362930043496,0.5021589545366639
E033_v72_multiscale_ce,mit_b2_upernet,7,5.000000000000001e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,5.000000000000001e-05,1.0000000000000003e-05,0.0,0.5054870918629661,0.0,0.0,0.0,multiscale,0.5054870918629661,0.6730225394477617,0.8066689716063963,0,0,0.9376401613203532,0.5198009807020388,0.701873041884981,0,0,248.27469539642334,6.424944877624512,0.5488832240416923,0.5866479540527306,0.5556179371584844,0.7121146765273056,0.33147514115350524,0.3877674194762663,0.5161005125042878
E033_v72_multiscale_ce,mit_b2_upernet,8,3.705904774487398e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,3.705904774487398e-05,7.411809548974795e-06,0.0,0.4837969214197189,0.0,0.0,0.0,multiscale,0.4837969214197189,0.6873029318622027,0.8149499758027693,0,0,1.0532741438258777,0.49841389118397483,0.6966921375139241,0,0,246.68385934829712,6.424944877624512,0.5425302656214165,0.5976614625688239,0.5478350991650195,0.7170885207573134,0.18958986985128148,0.375849892706233,0.5183421276177367
E033_v72_multiscale_ce,mit_b2_upernet,9,2.5000000000000018e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,2.5000000000000018e-05,5.000000000000004e-06,0.0,0.4831358916229672,0.0,0.0,0.0,multiscale,0.4831358916229672,0.685608780535676,0.813649416249828,0,0,1.0946657624826477,0.5040479468764053,0.6970218395789707,0,0,247.89907574653625,6.424944877624512,0.5425598450938202,0.6110954916351574,0.549284925982064,0.7137519661354557,0.22319980846728163,0.376471483730706,0.5119721070903515
E033_v72_multiscale_ce,mit_b2_upernet,10,1.4644660940672632e-05,cosine,0.2,512,256,8,0.05,False,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,1.4644660940672632e-05,2.9289321881345265e-06,0.0,0.47237845422729613,0.0,0.0,0.0,multiscale,0.47237845422729613,0.6888943704447794,0.8186151608122522,0,0,1.153120316671983,0.5051900147537141,0.6997753397067663,0,0,246.5985872745514,6.424944877624512,0.5454363876309402,0.6083245264102886,0.5515669789165287,0.7155847973837282,0.22233272665740175,0.369119680995211,0.5239650052818998
