run,model,epoch,lr,scheduler,backbone_lr_mult,crop_size,context_size,batch_size,min_valid_ratio,rare_crop,rare_crop_prob,rare_classes,rare_min_ratio,loss_name,lovasz_weight,multi_scale_values,dice_weight,fg_aux_bce_weight,fg_aux_dice_weight,aux_loss_weight,init_encoder_from,init_ablation_from,strict_ablation,model_seed,data_seed,train_seed,new_lr_mult,lr_base,lr_backbone,lr_new,train_main_loss,train_fg_bce,train_fg_dice,train_aux_ce,augmentation,train_loss,train_miou,train_pixel_acc,train_skipped_all_ignore,train_skipped_nonfinite,val_loss,val_miou,val_pixel_acc,val_skipped_all_ignore,val_skipped_nonfinite,seconds,peak_vram_gb,val_iou_background,val_iou_building,val_iou_road,val_iou_water,val_iou_barren,val_iou_forest,val_iou_agriculture
E035_v72_multiscale_rare_ce,mit_b2_upernet,1,0.0001,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,0.0001,2e-05,0.0,0.6910249083761185,0.0,0.0,0.0,multiscale,0.6910249083761185,0.615214737126575,0.7601992011763606,0,0,1.0541254560057627,0.48358123256755414,0.6772717441450061,0,0,249.6538016796112,6.424944877624512,0.5272278972121641,0.6049040593250602,0.5258485498540698,0.7076865949784089,0.18038394594777776,0.38095663454788786,0.4580609461075104
E035_v72_multiscale_rare_ce,mit_b2_upernet,2,9.829629131445342e-05,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,9.829629131445342e-05,1.9659258262890683e-05,0.0,0.6059189124712868,0.0,0.0,0.0,multiscale,0.6059189124712868,0.6284228682873785,0.7709733984551113,0,0,0.87644535160521,0.5022404303828379,0.6933413709264638,0,0,246.25822520256042,6.424944877624512,0.5406898964479638,0.5984158954983707,0.4516803030436157,0.7113805631211924,0.34866594227729375,0.35720600115478424,0.5076444111366445
E035_v72_multiscale_rare_ce,mit_b2_upernet,3,9.330127018922195e-05,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,9.330127018922195e-05,1.866025403784439e-05,0.0,0.5624601219381605,0.0,0.0,0.0,multiscale,0.5624601219381605,0.6482456104748613,0.7868607364969178,0,0,1.0622423937161003,0.513855665413666,0.6888505132450647,0,0,246.91075325012207,6.424944877624512,0.5346605459938634,0.6146904259033319,0.5329277165926293,0.7094963838811674,0.33807054930445146,0.40067070753226225,0.4664733286879559
E035_v72_multiscale_rare_ce,mit_b2_upernet,4,8.535533905932738e-05,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,8.535533905932738e-05,1.7071067811865477e-05,0.0,0.5574251178238127,0.0,0.0,0.0,multiscale,0.5574251178238127,0.654189629185869,0.7878252946542751,0,0,0.8458600385052165,0.5236928003515483,0.7115674414334267,0,0,246.12687635421753,6.424944877624512,0.5607326584862973,0.6126169576957746,0.5411818554107223,0.6886547659305948,0.3223453603810332,0.37835947794302016,0.5619585266133963
E035_v72_multiscale_rare_ce,mit_b2_upernet,5,7.500000000000001e-05,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,7.500000000000001e-05,1.5000000000000004e-05,0.0,0.5341590222385194,0.0,0.0,0.0,multiscale,0.5341590222385194,0.6619394228557746,0.7942841463532572,0,0,0.8829853945371637,0.5306085764109166,0.7127783746702806,0,0,242.36607837677002,6.424944877624512,0.5554248116148924,0.6497065049635105,0.5662393172161503,0.6971690426237263,0.3231809312275079,0.37067632659204064,0.551863100638589
E035_v72_multiscale_rare_ce,mit_b2_upernet,6,6.294095225512605e-05,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,6.294095225512605e-05,1.258819045102521e-05,0.0,0.5231304476185451,0.0,0.0,0.0,multiscale,0.5231304476185451,0.6688615580966972,0.7996723216796997,0,0,1.02580040750321,0.5069366353723814,0.697624287062704,0,0,245.28387928009033,6.424944877624512,0.5419090665956627,0.604892013236333,0.5583152884684183,0.6922924488752874,0.2649437517990241,0.36979068503169726,0.5164131936002472
E035_v72_multiscale_rare_ce,mit_b2_upernet,7,5.000000000000001e-05,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,5.000000000000001e-05,1.0000000000000003e-05,0.0,0.5207188945914072,0.0,0.0,0.0,multiscale,0.5207188945914072,0.6656080847601549,0.7986954148152936,0,0,1.0087163379888215,0.5221212436689404,0.704332404773536,0,0,245.5184726715088,6.424944877624512,0.551144567405425,0.6099397067138654,0.5502483482756283,0.7121270271522203,0.3210043744726348,0.39363026312002003,0.5167544185427893
E035_v72_multiscale_rare_ce,mit_b2_upernet,8,3.705904774487398e-05,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,3.705904774487398e-05,7.411809548974795e-06,0.0,0.4964461032360319,0.0,0.0,0.0,multiscale,0.4964461032360319,0.6805606193639887,0.8095447440757717,0,0,0.965510177270077,0.5137973980944259,0.7025647420430224,0,0,246.16412687301636,6.424944877624512,0.5478011720241535,0.6251448930152715,0.5452218284996735,0.7167127433513492,0.25503847539106417,0.38621584214759636,0.5204468322318737
E035_v72_multiscale_rare_ce,mit_b2_upernet,9,2.5000000000000018e-05,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,2.5000000000000018e-05,5.000000000000004e-06,0.0,0.4889425311769758,0.0,0.0,0.0,multiscale,0.4889425311769758,0.6840824456398272,0.8101251859619383,0,0,1.0923310746416521,0.5158888314655055,0.7028988547261804,0,0,246.9300720691681,6.424944877624512,0.5452692208037729,0.6275330979195924,0.5475277447448504,0.7107871716438781,0.2742710173584772,0.38178560268398704,0.5240479651039803
E035_v72_multiscale_rare_ce,mit_b2_upernet,10,1.4644660940672632e-05,cosine,0.2,512,256,8,0.05,True,0.4,"barren,forest",0.02,ce,0.5,"0.75,1.0,1.25,1.5",0.3,0.7,0.5,0.4,outputs/experiments/E007_segformer_b2_20ep/checkpoints/best_miou.pth,,True,3407,20260809,271828,1.0,1.4644660940672632e-05,2.9289321881345265e-06,0.0,0.48717147509256997,0.0,0.0,0.0,multiscale,0.48717147509256997,0.6831657208808956,0.8117697364800811,0,0,1.0868861449962597,0.5148491539102945,0.7038336974686721,0,0,245.76736116409302,6.424944877624512,0.550010685553567,0.6200101288381682,0.5530782553202629,0.7151856369084119,0.26187606541062186,0.37960859933113006,0.5241747060098996
