epoch,overall_miou,urban_miou,rural_miou,worst_domain_miou,dg_balanced_score,overall_pixel_acc,urban_pixel_acc,rural_pixel_acc,overall_iou_background,overall_iou_building,overall_iou_road,overall_iou_water,overall_iou_barren,overall_iou_forest,overall_iou_agriculture,urban_iou_background,urban_iou_building,urban_iou_road,urban_iou_water,urban_iou_barren,urban_iou_forest,urban_iou_agriculture,rural_iou_background,rural_iou_building,rural_iou_road,rural_iou_water,rural_iou_barren,rural_iou_forest,rural_iou_agriculture
1,0.48004877455874156,0.5296190110566709,0.3793026775794423,0.3793026775794423,0.42967572606909193,0.6813126724256031,0.6771461292691734,0.6840946922424718,0.5325858420156603,0.5857262400438973,0.514291436594296,0.7062065409689541,0.1758686326210017,0.3664916989864507,0.4791710306809311,0.4403362390105231,0.6386550411945405,0.6027784469219662,0.728472705264703,0.2962208687332622,0.5248715022275617,0.4759982740441385,0.5745496546051052,0.4607286685139439,0.32825547810871847,0.6909705646333641,0.05534764513894299,0.06429154729313975,0.4809751847628818
2,0.5145119859912508,0.5594340815519826,0.4126418056494438,0.4126418056494438,0.46357689582034733,0.7001626849185308,0.6955712728148192,0.7032283916639953,0.5455483820689236,0.5906230645902467,0.5245123659578311,0.7153265398496391,0.33195604954753327,0.3715301030814715,0.5220873968431093,0.45646856371533173,0.6408654848483921,0.6077207333725949,0.7287721031629563,0.4464264044879844,0.5352282570525069,0.5005570242241113,0.5842535957410382,0.48412135174649673,0.34551666954144766,0.7064723776126822,0.19054257421608525,0.04355702750081243,0.5340290431875442
3,0.5223065796339371,0.5627649315378876,0.43828565325127367,0.43828565325127367,0.4802961164426054,0.6981140188154528,0.6937673742889993,0.7010162931362687,0.5416387369852845,0.6336114841473546,0.5508815295584649,0.7141485736361397,0.3206283847197592,0.40459128597114996,0.4906460624194068,0.44384153618210653,0.6615043431945467,0.6315438675189526,0.7276171883647214,0.4374730460953313,0.5452638049522526,0.49211073445730286,0.5850668251159128,0.5675141670265257,0.3785626630990054,0.7052080859424049,0.190493758663204,0.1513402510871526,0.4898138218247103
4,0.524876979420457,0.5812849565315329,0.4166975641870536,0.4166975641870536,0.4707872718037553,0.7111735134460081,0.7134654448682564,0.7096431804106336,0.5584244402822971,0.6154676005279521,0.550740572865316,0.7120564131199025,0.3118151718374617,0.37760281576521193,0.548031841545058,0.4669555800344786,0.6614930003757974,0.629265428772266,0.7368567449975821,0.4824270603114793,0.5421123567193749,0.5498845245097521,0.5980533290259303,0.5009338922380214,0.3816805997754533,0.6952679566553153,0.14025894296192934,0.053666583030003795,0.547021645622722
5,0.545017550275089,0.5882679298081975,0.45571791943466194,0.45571791943466194,0.5003677348548755,0.7231785505678666,0.7244975001652403,0.7222978819225216,0.5623169955071075,0.656061511410211,0.5736530820266086,0.7127006871789562,0.3707487222459187,0.36847491557933715,0.5711669379774841,0.4658291945641576,0.6705335925625797,0.6461161778696951,0.7273470081452429,0.47795607983837307,0.5441898003426074,0.5859036553347271,0.6014004676018875,0.6216741766274292,0.4129332377203165,0.7030544468266038,0.24370233136217512,0.04457049897528207,0.5626902769289389
6,0.5067236838609618,0.5664633126277201,0.3963691439749428,0.3963691439749428,0.45154641391795225,0.6907654619869786,0.6991785232300984,0.6851480227285446,0.5320605672493613,0.5971896478422895,0.5601380720778364,0.6838439027477783,0.293297720185691,0.38407612537267255,0.4964597515511039,0.4416424241290544,0.6724219078813206,0.6310271922973851,0.7249397791560387,0.44607681335359134,0.5531985445853494,0.49593652699130053,0.5707200454730941,0.45794539849860005,0.40237023929246296,0.659625906872946,0.13547144607272785,0.05169057573770977,0.49676039587705884
7,0.5258571507602724,0.5711386030622764,0.430676198823804,0.430676198823804,0.4782666747920382,0.7043811480592038,0.7045596188954463,0.7042619822700787,0.5491949361837142,0.6226941491120758,0.5523010090358006,0.7100259882926974,0.3459843287175056,0.38735878521847517,0.5134408587616384,0.45420157865388966,0.6681198935427317,0.6270244787284115,0.7309867597030036,0.4538777505710766,0.5433679914831866,0.5203917687536352,0.5895135964839809,0.5186780714293558,0.3872800324904312,0.696656676034401,0.21111185679633782,0.10201672426389458,0.5094764342682263
