epoch,overall_miou,urban_miou,rural_miou,worst_domain_miou,dg_balanced_score,overall_pixel_acc,urban_pixel_acc,rural_pixel_acc,overall_iou_background,overall_iou_building,overall_iou_road,overall_iou_water,overall_iou_barren,overall_iou_forest,overall_iou_agriculture,urban_iou_background,urban_iou_building,urban_iou_road,urban_iou_water,urban_iou_barren,urban_iou_forest,urban_iou_agriculture,rural_iou_background,rural_iou_building,rural_iou_road,rural_iou_water,rural_iou_barren,rural_iou_forest,rural_iou_agriculture
1,0.4750129967373013,0.5203837717752592,0.37535978478814036,0.37535978478814036,0.4251863907627208,0.6707497566307824,0.6587223691678299,0.6787804979457872,0.523588002014902,0.5717737330004093,0.5171223750883127,0.6989281507410011,0.19214731986413108,0.3752721680400961,0.4462592284122571,0.4233312518369299,0.6275772286169388,0.6049856062146232,0.727652247798285,0.32800658237318575,0.5259254827685167,0.4052080028183357,0.5703403338560795,0.45072185711300267,0.3306649988428893,0.679528441638501,0.05223858316128187,0.07471667048686265,0.4693076084183655
2,0.516627638768224,0.5636066099185743,0.4172331217255892,0.4172331217255892,0.4669303802469066,0.6994031855157419,0.7000538565780742,0.6989687294878766,0.5453937142819041,0.6206623106298892,0.51473268574712,0.7128889077632424,0.3391055914420544,0.37142817872994527,0.5121820827834132,0.45291722571572846,0.6587906697036949,0.6013361417344485,0.7318506621866921,0.4464022736432525,0.527325162776969,0.526624133669234,0.5839937288712017,0.5281155789785841,0.328895597964526,0.7001359964992533,0.1991541134035145,0.07644959785327067,0.503887238508774
3,0.5251379053353281,0.5699216795769634,0.4362846878707479,0.4362846878707479,0.480711296603038,0.7008118666475683,0.6996553747915412,0.701584061520085,0.544612370667919,0.6388865030568515,0.549615115928745,0.7060611577391364,0.3646186093251621,0.36636152700042823,0.5058100536290543,0.4464190306984395,0.6651740074983792,0.6330974129421985,0.7323111508984637,0.461550420078138,0.5312360801757329,0.5196636547473918,0.5878826764410853,0.577663679426831,0.369919805199529,0.6882533884278047,0.25407128410075747,0.07830028119667821,0.49790170030254954
4,0.524702331761563,0.5821912256473174,0.41398249548606414,0.41398249548606414,0.46934241362381357,0.7098604354101764,0.7152291560957075,0.7062757161890804,0.5580974397168156,0.604291896043264,0.546092674182938,0.7024839618685759,0.3353066026369441,0.37987946611490386,0.5467642817674999,0.4687116042869953,0.6593981797207342,0.6315850117659219,0.7367009097050481,0.4770659065815955,0.5433439167238453,0.5585330507470807,0.5960434969899782,0.4675542381543959,0.3597967228363597,0.6789190668837782,0.19396173966214109,0.061394458639480426,0.5402077452363153
5,0.5436200702334743,0.588895409680384,0.4510415416740556,0.4510415416740556,0.4973308059537649,0.7203727614093923,0.7255679739010185,0.7169038943985603,0.5631156948585703,0.6514232354823215,0.5691517930329796,0.714140093723537,0.37695240317386575,0.3749902388037644,0.5555670325592819,0.47267744519802646,0.6723979020621275,0.6441374876694461,0.7242499799723897,0.48589667318374213,0.5407692623904954,0.582139117286461,0.5985993571067337,0.602891378338962,0.4019067865144198,0.7073522809320868,0.2453008664801533,0.06123142566147362,0.5400086966845603
6,0.5211943934763086,0.5737892901547791,0.41323511308657107,0.41323511308657107,0.4672147532814398,0.6995572097921935,0.7042157025556413,0.6964467129851099,0.5405201805258036,0.6259804396668682,0.5558955077319933,0.7055828022795121,0.33703562989757674,0.3740881582206583,0.5092580360117471,0.4435216388272043,0.6745762012293957,0.6289658803921008,0.7362207227635018,0.47643270213257644,0.5447497015206628,0.5120581842180116,0.5804672119633889,0.5177775234292322,0.3908709505760087,0.6866017649164287,0.17757213940444147,0.03169643029885132,0.5076597710176463
7,0.5324309419827203,0.5797980882994729,0.4366631378832705,0.4366631378832705,0.4845470399329954,0.7106133356082429,0.7138469604104155,0.708454229619846,0.5535885932954268,0.6189431564113607,0.558228221254998,0.7168529334581598,0.35698915262885444,0.3899615446221184,0.5324529922081238,0.4576063068624736,0.6688411139089128,0.6339735821356158,0.7400116156613283,0.46025119524423763,0.5397993254888256,0.5581034787949164,0.593557816642675,0.5062158768366157,0.3905919832783732,0.7019061569607682,0.22935107317500605,0.11731922213110792,0.5176998361583474
8,0.5105544231124138,0.5655302995330949,0.4023272790318209,0.4023272790318209,0.4564408510721174,0.6974371588001907,0.7022757663170943,0.6942063985529816,0.5405573019246712,0.5878553907156308,0.546356536440355,0.7186367180226803,0.28902481228642696,0.37880306073347797,0.5126471416636551,0.4486442869389256,0.6710666649868059,0.6280247328483655,0.7373691724579253,0.4039191546673543,0.546548339723584,0.5231397451087038,0.5801268009598669,0.44559804720244284,0.3667773475708814,0.7064720530900195,0.16086575848202098,0.04982646649257839,0.5066244794249368
9,0.5119695361980536,0.5711283858130993,0.4011289120681799,0.4011289120681799,0.45654922413311677,0.6972195047418489,0.7072722805870196,0.6905072205854628,0.5373210717018697,0.5880298494863446,0.5552311710972299,0.7143720429050449,0.2926582890739766,0.3826979745692199,0.51347635455269,0.4471190215952809,0.6719208350635794,0.6344055159490248,0.7339691967347509,0.41440532596884355,0.5568358009225524,0.5392430044576635,0.5755094553228338,0.44430267244651894,0.37778725546718456,0.7016783810216841,0.15584666465529734,0.05410770862959094,0.4986702469341498
10,0.5105561290748982,0.56781705197707,0.40204229595409485,0.40204229595409485,0.45629921251449657,0.6989816930720727,0.7066640003513363,0.6938521815591046,0.5433451522092959,0.5846781075329551,0.5596317976875138,0.7169829794235962,0.27694067596935323,0.3752998794437423,0.5170143112578305,0.4534644361297887,0.6723219737305991,0.634808019193989,0.7325992079285393,0.4035017388963501,0.5406017422775756,0.5374222456826484,0.5811086188815945,0.4319023260168997,0.39058558923741965,0.7065218797924575,0.13802605329771309,0.06101864675800327,0.5051329576945766
11,0.5219367124307388,0.5774125061442612,0.4149250390626026,0.4149250390626026,0.4684308757466707,0.7040203487014495,0.7101023826309412,0.69995934698289,0.5475756516041493,0.6097663028207196,0.556778382555147,0.7182225056053745,0.3258315837959415,0.3746706242510357,0.5207119363828039,0.45631362879140835,0.6694583137097954,0.6342390725434833,0.7324784281444163,0.46101530467943713,0.5461736533486468,0.5422091417926413,0.5861313466373875,0.4884384563864081,0.3834652701687297,0.7086950641462626,0.1721841969278906,0.05726175143176775,0.5082991877397718
12,0.5189571577478805,0.5740732743277099,0.4131235110038783,0.4131235110038783,0.46604033437587944,0.7025786721327633,0.7083347042597119,0.6987353433005653,0.5431848436161156,0.6115276192940264,0.5574601814422117,0.7189692856917108,0.30227909431846145,0.37796674603801816,0.5213123338346196,0.4481805593123187,0.6732881707561164,0.6320406068418578,0.7335387027426716,0.442037861324546,0.5480128725960602,0.5414141467203988,0.5832270399957973,0.4929409127043872,0.38868092412506144,0.709325549464821,0.14651699206964564,0.06146344294082348,0.5097097157266118
