epoch,overall_miou,urban_miou,rural_miou,worst_domain_miou,dg_balanced_score,overall_pixel_acc,urban_pixel_acc,rural_pixel_acc,overall_iou_background,overall_iou_building,overall_iou_road,overall_iou_water,overall_iou_barren,overall_iou_forest,overall_iou_agriculture,urban_iou_background,urban_iou_building,urban_iou_road,urban_iou_water,urban_iou_barren,urban_iou_forest,urban_iou_agriculture,rural_iou_background,rural_iou_building,rural_iou_road,rural_iou_water,rural_iou_barren,rural_iou_forest,rural_iou_agriculture
1,0.4989983317328398,0.5435047759691507,0.4060294128386993,0.4060294128386993,0.45251387228576956,0.6847073216414965,0.6779777082600598,0.6892007151056033,0.5333125198013724,0.610295908076244,0.5287902482612725,0.7067633010567904,0.254519486572005,0.39024471887381723,0.4690621394883765,0.4391853696570607,0.6464027091532721,0.6150225028431225,0.7335469529908878,0.39884274279134707,0.5239638546492944,0.4475692996990707,0.5755910841861717,0.5268542262718187,0.3465754907490568,0.6888775481743077,0.10186816973072951,0.12130832808656793,0.48113104267224277
2,0.5281541426712801,0.5627844320355856,0.44393191158875966,0.44393191158875966,0.4860430271300199,0.7067946990772944,0.6966576224532752,0.7135632712471558,0.5487126189417326,0.6271688583366672,0.5305331058323295,0.7138041812732219,0.3730782440203539,0.36927780829283213,0.5345041820018236,0.4506137582037795,0.6493583008024717,0.6145231760157533,0.7270539384853252,0.4605509606901266,0.5256834221627976,0.5117074678888455,0.5913676114936306,0.5740412735012209,0.34936215291455464,0.704934726590183,0.26230011000949793,0.07823765592799507,0.5472798506842356
3,0.5182085237461868,0.5564378576091568,0.43402150429249986,0.43402150429249986,0.4761150140193433,0.6896315822543978,0.6801389061906951,0.6959698852391111,0.5350275030002113,0.6226386629355608,0.5370574241247429,0.7101816018136122,0.36465603043177,0.39230588179945586,0.465592562117954,0.4338388162635979,0.6570153429247166,0.6259479566166927,0.7255246313172066,0.46972023068489405,0.5392524972910124,0.44376552816597753,0.5819268704326692,0.543074882810609,0.347622315026159,0.6998794231809968,0.25287302908132164,0.13483374606218315,0.4779402634535602
4,0.5332886503745926,0.6003817394940479,0.4239919084049911,0.4239919084049911,0.47864027938979187,0.7179456904415183,0.7337380815558912,0.7074010390635228,0.5646021400082519,0.6224376543063724,0.5573114570478757,0.700924054672678,0.32792271984765975,0.3834530762222765,0.5763694505170344,0.4796106664619626,0.6707076923088964,0.6329092719540617,0.7453558731979563,0.5132192064058003,0.552786935723398,0.6080825304062598,0.5993346344174149,0.5016174381189697,0.3950608314774066,0.6704118038972665,0.17139405455013532,0.07120905290801137,0.5589155434657332
5,0.5307694061376778,0.582788370384706,0.43442625907944316,0.43442625907944316,0.4825978326085605,0.7143051010055281,0.7191398937427724,0.7110768879040488,0.5558966074377443,0.65408688800191,0.5710828130953026,0.7055138062986877,0.30734268973330736,0.3645536284530315,0.5569094099437606,0.46210039326758784,0.6728262868769279,0.6468696190496283,0.7295761071070294,0.4584320972715963,0.5386529648501508,0.5710611242700216,0.5942695828958526,0.6103287073456104,0.40204777213186843,0.6887893410846921,0.15377430982791265,0.04298398036092388,0.5487901199092421
6,0.5091146470823699,0.5687713492286955,0.3959995335436142,0.3959995335436142,0.45255709031299207,0.6959811701659235,0.7013337008331973,0.6924072610936575,0.5421200835945563,0.5879965049407786,0.5532715635796348,0.7138877160027903,0.2938928031711061,0.36818530300469104,0.5044485552830321,0.4512709778175244,0.6627370455166206,0.6311067931777429,0.7313296953209816,0.4508154748010641,0.5439537128718878,0.5101857450950475,0.5816531920714257,0.43597035904909015,0.38254391317047487,0.7026680580915249,0.13389935739775066,0.03407023056839476,0.5011916244566382
7,0.5177819599652213,0.5672656838686737,0.4194635545744537,0.4194635545744537,0.4686227572698375,0.6982330057565443,0.7025157909725338,0.6953733705877863,0.5451093646119746,0.6093621730222587,0.55022041488474,0.7160291113129761,0.3184370058474957,0.3885940498458931,0.49672160023121126,0.4545912129593989,0.6662105223384387,0.6287501696747108,0.731503679543644,0.4345536170062452,0.5382840913352241,0.5169664942230539,0.5832602540736176,0.48826983726745543,0.3790841414385264,0.7057399596919144,0.1810354370475276,0.1137482234348648,0.48510702906727
8,0.5158395783842419,0.5658711913777785,0.4150037215464189,0.4150037215464189,0.4654216499653304,0.7020195739194925,0.704902607565502,0.7000945592407126,0.5479956344247627,0.6159196279320839,0.5480417222606506,0.719670055542201,0.27633468879114154,0.3873419382691356,0.515573381469718,0.4551563063829194,0.6692523555520816,0.6261490819113451,0.7346639274261074,0.39772051657061214,0.5474899982257939,0.5306661535755901,0.5873048435956656,0.5060636705053437,0.377174104206001,0.7098391729285375,0.14693800573047197,0.07082256014940178,0.5068836937095107
9,0.5173675202644588,0.5699165354517332,0.4138097843320424,0.4138097843320424,0.4655886522982506,0.7038254219122211,0.7083404813120848,0.7008106962144022,0.5456615445974385,0.6279365435816484,0.5483081254404623,0.7186550508910643,0.27380053197539195,0.3827340131367359,0.5244768322284702,0.45077633850570953,0.6717369772884323,0.630373712756417,0.735063908076981,0.39728687685971065,0.5576286523978632,0.546549282277019,0.5859117658931654,0.5301184063036871,0.36599003611280767,0.7080349101902607,0.13839769105690977,0.05640301026232049,0.5118126705051459
10,0.5139807680748764,0.5673026629094603,0.41006065497946487,0.41006065497946487,0.4620207115271706,0.7032759974864722,0.7089653995172228,0.6994771578725696,0.5494279347969363,0.6130765170393687,0.5548070863865825,0.7169141967396461,0.26083694885768777,0.3787424000130923,0.5240602926908211,0.4570774300482416,0.6691410853503938,0.6345815757169128,0.7330617835010936,0.3835927844205779,0.5439074981734872,0.5497564831555152,0.5878174571480241,0.4917641908159628,0.37708533275310446,0.7059109384543163,0.128791116317496,0.06995931283480684,0.5090962365325438
11,0.5249991235689918,0.5770014995990993,0.42452867118393295,0.42452867118393295,0.4747638973764624,0.7082017865894867,0.7131636722867182,0.7048887129405477,0.5519076802000793,0.62836453494496,0.5610505892169062,0.7195629671923464,0.30128655130487775,0.3811991241348137,0.5316224179889594,0.4566595678657266,0.671682338755565,0.6333411953587041,0.7359877557247066,0.4344963299744721,0.549175809785298,0.5576674997292229,0.5915141317038604,0.5312405169033626,0.3981383396090843,0.7083897333665586,0.15603649906959077,0.0698346012293831,0.516546876405691
12,0.5206831296168626,0.5719496063096575,0.4203498919330585,0.4203498919330585,0.47051651077496054,0.7057067462186567,0.7092507774044697,0.7033403804760345,0.5483120228994223,0.632132400465926,0.5574562474675129,0.7213257670208719,0.27477780999845614,0.38494479284108524,0.5258328666247639,0.4506887744545454,0.6732215871162441,0.6317402864338957,0.7371017441986751,0.4135879497109605,0.5509156793223204,0.546391222930961,0.5891353123039881,0.5408788774517901,0.39059916359340424,0.7107153969849477,0.1252163300654138,0.07192307165177739,0.5139810914800885
