epoch,overall_miou,urban_miou,rural_miou,worst_domain_miou,dg_balanced_score,overall_pixel_acc,urban_pixel_acc,rural_pixel_acc,overall_iou_background,overall_iou_building,overall_iou_road,overall_iou_water,overall_iou_barren,overall_iou_forest,overall_iou_agriculture,urban_iou_background,urban_iou_building,urban_iou_road,urban_iou_water,urban_iou_barren,urban_iou_forest,urban_iou_agriculture,rural_iou_background,rural_iou_building,rural_iou_road,rural_iou_water,rural_iou_barren,rural_iou_forest,rural_iou_agriculture
1,0.499389100835673,0.544558700129006,0.4056608840553918,0.4056608840553918,0.4525249924455324,0.6866533829316817,0.6799650069487814,0.6911192419972194,0.537553193688436,0.5880070390937648,0.5309802176301806,0.7059408977998805,0.29053492574850087,0.35928505110655046,0.48342238078239813,0.44587041782112846,0.6328685484357678,0.6136999485458766,0.731842384619369,0.41521911608849127,0.503412909139367,0.46899757625304206,0.5791145705591015,0.48553278941498207,0.3566280509699204,0.6885446978589611,0.15857759423874493,0.07968670690722718,0.49154177843880575
2,0.5168495629594704,0.5581353400891299,0.4259429143876003,0.4259429143876003,0.4713962386735353,0.6961811365718819,0.6951219963465903,0.6968883293177572,0.5462445824529714,0.5984937966522286,0.5282156660636149,0.6979571572758912,0.38130638712428416,0.3603802860710059,0.5053490650762963,0.45898199757810115,0.639148638983183,0.608031755693173,0.7160816562479669,0.4648475114715134,0.5102694645007385,0.5095863561492335,0.5825720899000284,0.50386777366661,0.3559030719235507,0.6853709828126341,0.2883438240673761,0.06262683989057585,0.5029158184524267
3,0.5203257884525547,0.5554124291828746,0.43957585120820014,0.43957585120820014,0.47995081983037746,0.6945759074538279,0.685088204561749,0.7009108898292277,0.5376228469854978,0.6292884278435826,0.5493833950149611,0.715152410352999,0.3388694065447655,0.38643773309109225,0.4855262993349849,0.434940062833742,0.6615682766275104,0.6335439650568508,0.7267726092271829,0.4202971234709737,0.5411572075405203,0.46960775952334216,0.5846263968804863,0.5523261138492206,0.368665517919396,0.7074435831141721,0.25217879199785365,0.11727912539525022,0.4945114293010224
4,0.5155016766325294,0.5838994342347786,0.4021285643644479,0.4021285643644479,0.45881512049848866,0.7030912056721856,0.7195272112510261,0.6921168099888158,0.5543234814056607,0.6065476774502653,0.5414999638115344,0.6783464193463823,0.3088595892345002,0.37737633984257174,0.5415582653367911,0.4721318337165791,0.6634477958313275,0.620321958564931,0.7376313447067029,0.4771911064246377,0.5418165950784949,0.5747554053207774,0.5880650734927563,0.46484369498552086,0.3727369017974026,0.6368953332154116,0.17035627628022645,0.059112225672521924,0.5228904451072953
5,0.532848773536697,0.5858534211420707,0.4341526293946502,0.4341526293946502,0.4835007014656736,0.710254460211748,0.719794928240722,0.7038842463144437,0.5524556115068856,0.6476083154135099,0.5674051440824252,0.7104908986014405,0.3503432738038434,0.3594551609256824,0.5421830104230922,0.4649741715943727,0.6749282962204335,0.6404967990663936,0.7265255003182354,0.4977110427325696,0.5329533119247047,0.563384826137786,0.5871085247265567,0.5826598830417845,0.40393536204800523,0.6995141609917166,0.2126470135978111,0.023261196611896486,0.5299422647447809
6,0.5130592287323674,0.5778123484181925,0.3996877224548821,0.3996877224548821,0.45637347559362473,0.7003507678272682,0.7160725661733028,0.6898532515617799,0.5448149356362856,0.6067453800071769,0.5539499451943166,0.7034975334432982,0.2859182787768575,0.36643972323193014,0.5300488048367072,0.46506387130531035,0.6669363695789637,0.6294652358321222,0.7235504229157124,0.46206303733461124,0.540905837368678,0.5567016645919496,0.5768050607921226,0.47546471641064997,0.384126007751021,0.6905768147917241,0.13967872247032012,0.01658362953997279,0.5145791054283642
7,0.5184363604603457,0.5654855090820011,0.4211053809017279,0.4211053809017279,0.4697708706810368,0.699851153403128,0.7028161962304129,0.6978713808209956,0.547314369704636,0.6105812275810454,0.5478288048543469,0.7132057499780144,0.3209518504752712,0.38131444737034437,0.5078580732587619,0.4584301667713064,0.6620838275919768,0.6270640416968292,0.7297430583362307,0.41628108388987806,0.543371263627697,0.5214251216600898,0.584887523398239,0.490535643111262,0.3750789618265574,0.7020305307836846,0.21547789536797893,0.07962309045809955,0.5001040213662739
8,0.5167950981056866,0.5632315779283379,0.41861854265695747,0.41861854265695747,0.46770682038132205,0.7004376910943789,0.7019044522111522,0.6994583280252173,0.5446807677931155,0.6320346122446147,0.5457887605482956,0.7177139223007123,0.28909900287600243,0.37644394625344824,0.511804674723618,0.4491906183278372,0.6706427365590002,0.6276658452366518,0.7310332525126143,0.39763630043668297,0.5456900582690859,0.5207622341564926,0.584773814232502,0.5457316553262994,0.3665289769051028,0.7088420561943185,0.1776551215279603,0.04013512418031428,0.5066630502322049
9,0.5173300964973092,0.5660993430846097,0.41615370430803944,0.41615370430803944,0.4667419004026743,0.7022526167341476,0.7040242303469584,0.7010697022667749,0.5437403824979237,0.6319578380962783,0.5457792435503086,0.7089392838179132,0.2939337494424726,0.3745442055402801,0.5224159725359883,0.4489484154048762,0.6717971983966079,0.6292717327084862,0.7284736272444025,0.39995140636205206,0.5559969767137617,0.5282560447620812,0.5844125445452049,0.5409551028821382,0.3610934166079882,0.6964625928952396,0.18152162326155427,0.029546021259567113,0.5190846287045843
10,0.5149663233731362,0.5639487809787005,0.4140507816708196,0.4140507816708196,0.46450855252197787,0.7028662230758351,0.7057363291364416,0.7009498402046294,0.5496867663367353,0.6214760279627156,0.5547105393102548,0.714301448121514,0.2713725948279444,0.37084230678946617,0.5223745802633228,0.4577346496832912,0.6693076966357527,0.6340269492105345,0.7251764183548273,0.3828513150155876,0.5425991941278343,0.535945243823076,0.5882461054329693,0.512518947400711,0.3780153020591908,0.7068796554282296,0.15829794193398547,0.039854867921655775,0.514542651518995
11,0.5212476822340283,0.571470672847535,0.41983296350621435,0.41983296350621435,0.4705403228701213,0.7065555006427635,0.7091587329274565,0.7048173106055976,0.5521317322570267,0.6261754875241455,0.5584313325504591,0.715911458493095,0.2948092985244998,0.3698362607501707,0.5314382055388015,0.45788326334039076,0.668865207451055,0.6336949150583886,0.7279770533984031,0.42007362132700105,0.54754512565964,0.5442555236978674,0.5917843142971675,0.5267476393995347,0.38954812688274365,0.7076697673628943,0.16721498088988052,0.031797404697104355,0.5240685110141756
12,0.520143489769549,0.569169210902009,0.42044061566247326,0.42044061566247326,0.47029205271601116,0.7052200925692221,0.7072120011049793,0.7038900861797972,0.5488456480873151,0.6362618787788203,0.5565569704030087,0.7180789305991729,0.28258333220006276,0.3718927448594834,0.5267849234589805,0.45154157000690154,0.6733146047278254,0.6328386107652569,0.7300519248856713,0.40991792178800174,0.5481706304680716,0.5383492136723341,0.5896598223743375,0.5513905788016782,0.38552748047730595,0.7099739229228976,0.15290295448230576,0.03348626464261213,0.5201432859361759
